Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Dibdin, Charles$d1745-1814$0164414"	"Saturday night at sea [London, author]"	990014319	D 2545										
"Dibdin, Charles$d1745-1814$0164414"	"Taffy and Griddy [London, author]"	990014326	D 2552										
"Dibdin, Charles$d1745-1814$0164414"	"The beggar [London, author]"	990014361	D 2588										
"Dibdin, Charles$d1745-1814$0164414"	"Meum and tuum [London, author]"	990014376	D 2603										
"Dibdin, Charles$d1745-1814$0164414"	"Roses and lilies [London, author]"	990014383	D 2610										
"Dibdin, Charles$d1745-1814$0164414"	"The blind sailor [London, author]"	990014411	D 2638										
"Dibdin, Charles$d1745-1814$0164414"	"The Savoyard [London, author]"	990014436	D 2663										
"Dibdin, Charles$d1745-1814$0164414"	"Every man's friend [London, author]"	990014524	D 2751										
"Dibdin, Charles$d1745-1814$0164414"	"Jervis for ever [London, author]"	990014525	D 2752										
"Dibdin, Charles$d1745-1814$0164414"	"Valentine's day [London, author]"	990014530	D 2757										
"Dibdin, Charles$d1745-1814$0164414"	"Buxom Nan [London, author]"	990014534	D 2761										
"Dibdin, Charles$d1745-1814$0164414"	"Love's concerto [London, author]"	990014558	D 2785										
"Dibdin, Charles$d1745-1814$0164414"	"A savage love song [London, author]"	990014572	D 2799										
"Dibdin, Charles$d1745-1814$0164414"	"Shenkin & Winny [London, author]"	990014573	D 2800										
"Dibdin, Charles$d1745-1814$0164414"	"The true English sailor [London, author]"	990014588	D 2815										
"Dibdin, Charles$d1745-1814$0164414"	"Jack's claim to Poll [London, author]"	990014148	D 2370										
"Dibdin, Charles$d1745-1814$0164414"	"The sailor's maxim [London, author]"	990014164	D 2386										
"Dibdin, Charles$d1745-1814$0164414"	"The lamplighter [London, author]"	990014305	D 2531										
"Dibdin, Charles$d1745-1814$0164414"	"Peggy Perkins [London, author]"	990014309	D 2535										
"Dibdin, Charles$d1745-1814$0164414"	"The complaint [London, author]"	990014522	D 2749										
"Dibdin, Charles$d1745-1814$0164414"	"Death alive [London, author]"	990014540	D 2767										
"Dibdin, Charles$d1745-1814$0164414"	"Morality in the foretop [London, author]"	990014559	D 2786										
"Dibdin, Charles$d1745-1814$0164414"	"Swizzy [London, author]"	990014586	D 2813										
"Dibdin, Charles$d1745-1814$0164414"	"True friendship [London, author]"	990014590	D 2817										
"Dibdin, Charles$d1745-1814$0164414"	"The woodman [London, author]"	990014597	D 2824										
"Dibdin, Charles$d1745-1814$0164414"	"Wigs, or the Inundation [London, author]"	990014594	D 2821										
"Dibdin, Charles$d1745-1814$0164414"	"The virtue of drunkeness [London, author]"	990014591	D 2818										
"Dibdin, Charles$d1745-1814$0164414"	"The watery grave [London, author]"	990014592	D 2819										
"Dibdin, Charles$d1745-1814$0164414"	"The wily fox [London, author]"	990014595	D 2822										
