Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Dibdin, Charles$d1745-1814$0164414"	"Jack in his element [London, author]"	990014551	D 2778										
"Dibdin, Charles$d1745-1814$0164414"	"The joys of the country [London, author]"	990014553	D 2780										
"Dibdin, Charles$d1745-1814$0164414"	"Nautical philosophy [London, author]"	990014561	D 2788										
"Dibdin, Charles$d1745-1814$0164414"	"Sound argument [London, author]"	990014584	D 2811										
"Dibdin, Charles$d1745-1814$0164414"	"Every inch a sailor ... sung by Mr. Incledon ... at Vauxhall [London, author]"	990014285	D 2511										
"Dibdin, Charles$d1745-1814$0164414"	"An Irish drinking song [London, author]"	990014301	D 2527										
"Dibdin, Charles$d1745-1814$0164414"	"Mock Italian song [London, author]"	990014307	D 2533										
"Dibdin, Charles$d1745-1814$0164414"	"Conjugal comfort [London, author]"	990014365	D 2592										
"Dibdin, Charles$d1745-1814$0164414"	"Nothing but drunk [London, author]"	990014377	D 2604										
"Dibdin, Charles$d1745-1814$0164414"	"Moggy [London, author]"	990014428	D 2655										
"Dibdin, Charles$d1745-1814$0164414"	"Neighbour Sly [London, author]"	990014429	D 2656										
"Dibdin, Charles$d1745-1814$0164414"	"Ninety-three [London, author]"	990014431	D 2658										
"Dibdin, Charles$d1745-1814$0164414"	"The patent coffin [London, author]"	990014526	D 2753										
"Dibdin, Charles$d1745-1814$0164414"	"The shipwrecked tar [London, author]"	990014528	D 2755										
"Dibdin, Charles$d1745-1814$0164414"	"The taylor's daughter [London, author]"	990014529	D 2756										
"Dibdin, Charles$d1745-1814$0164414"	"Celia [London, author]"	990014537	D 2764										
"Dibdin, Charles$d1745-1814$0164414"	"Death or victory [London, author]"	990014543	D 2770										
"Dibdin, Charles$d1745-1814$0164414"	"The dustman [London, author]"	990014545	D 2772										
"Dibdin, Charles$d1745-1814$0164414"	"The Indian death song [London, author]"	990014549	D 2776										
"Dibdin, Charles$d1745-1814$0164414"	"Little Ben [London, author]"	990014554	D 2781										
"Dibdin, Charles$d1745-1814$0164414"	"The negro and his banjer [London, author]"	990014562	D 2789										
"Dibdin, Charles$d1745-1814$0164414"	"The Olympian hunt [London, author]"	990014563	D 2790										
"Dibdin, Charles$d1745-1814$0164414"	"The pleasures of the chase [London, author]"	990014568	D 2795										
"Dibdin, Charles$d1745-1814$0164414"	"The shipwreck [London, author]"	990014574	D 2801										
"Dibdin, Charles$d1745-1814$0164414"	"The soldier's adieu [London, author]"	990014578	D 2805										
"Pleyel, Ignace$d1757-1831$024761"	"Three quartetts dedicated to His Majesty the King of Prussia ... book 3 [London, Preston]"	990050684	P 3260										
"Pleyel, Ignace$d1757-1831$024761"	"Three quartetts dedicated to His Majesty the King of Prussia ... book 4 [London, Preston]"	990050708	P 3284										
"Pleyel, Ignace$d1757-1831$024761"	"Six quartetts for two violins, a tenor and violoncello ... op. 1 [London, Preston]"	990050550	P 3125										
"Pleyel, Ignace$d1757-1831$024761"	"Six quartetts for two violins, tenor and violoncello dedicated to His Royal Highness the Prince of Wales ... ([Kopftitel:] Pleyels 7th sett) [London, Preston]"	990050730	P 3306										
"Pleyel, Ignace$d1757-1831$024761"	"Three quartetts dedicated to His Majesty the King of Prussia ... book 1 [London, Preston]"	990050635	P 3210										
"Pleyel, Ignace$d1757-1831$024761"	"Three quartetts dedicated to His Majesty the King of Prussia ... book 2 [London, Preston]"	990050660	P 3236										
"Philidor, François-André$d1726-1795$030002505"	"The maid of the mill. A comick opera ... for the voice, harpsichord or violin. [London, Robert Bremner]"	990049420	P 1932										
"Paisiello, Giovanni$d1740-1816$01874"	"Le barbier de Séville. Opéra comique en quatre actes ... remis en français ... et parodié ... par Mr. Framery. [Paris, Le Duc]"	990047826	P 194										
"Rousseau, Jean-Jacques$d1712-1778$067075"	"Fragmens de Daphnis et Chloé, composés du premier acte, de l'esquisse du prologue et de différens morceaux préparés pour le second acte et le divertissement. [Paris, Esprit (Richomme)]"	990056204	R 2897										
"Scarlatti, Domenico$d1685-1757$030002849"	"Forty two suits of lessons for the harpsichord. [London, John Johnson]"	990057649	S 1191										
"Rameau, Jean-Philippe$d1683-1764$0169730"	"[caption title, p. 341:] LIVRE TROISIÈME | QUINQUE."	990053593	R 172										
"Stanley, John$d1712-1786$030004420"	"Six solo's [a, e, G, h, D, D] for a german flute, violin or harpsicord, opera quarto [!] [London, John Johnson]"	990060996	S 4678										
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 32:] Ermunterung die Schrift zu lesen."	1001072985											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 38:] Die Güte Gottes."	1001072990											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 40:] In Krankheit."	1001072992											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 41:] Vom Tode."	1001072993											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 42:] Lied am Geburtstage."	1001072994											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 43:] Versicherung der Gnade Gottes."	1001072995											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 48:] Am Communionstage."	1001073000											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 51:] Die Liebe der Feinde."	1001073529											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 52:] Demuth."	1001073530											
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto I. [right side:] Der 149. Psalm.	1001077532											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 45:] Allgemeines Gebet."	1001072997											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 47:] Weihnachtslied."	1001072999											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 50:] Bußlied."	1001073002											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 56:] Vertraun auf Gottes Vorsehung."	1001073536											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 60:] Die Wachsamkeit."	1001073546											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 34:] Warnung vor der Wollust."	1001072987											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 33:] Trost der Erlösung."	1001072986											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 36:] Abendlied."	1001072988											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 37:] Das natürliche Verderben des Menschen."	1001072989											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 49:] Am neuen Jahre."	1001073001											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 53:] Wider den Uebermuth."	1001073533											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 54:] Wider den Aufschub der Bekehrung."	1001073535											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 59:] Wider den Geiz."	1001073542											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 57:] Beständige Erinnerung des Todes."	1001073538											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 58:] Der Kampf der Tugend."	1001073541											
"Cherubini, Luigi$d1760-1842$050253"	"Lodoïska Comédie Héroïque En Trois Actes Par le C-en. Fillette-Loraux Représentée pour la premier fois sur le Théâtre de la Rue Feÿdeau le 18 Juil-te. 1791. Mise En Musique Par Le C-en Cherubini. - Paris, Chez H. Nadermann, Editeur, Facteur de Harpe, et autres Instruments de Musique, Rue d'Argenteuil, Butte St. Roche, à Apollon Et aux Asresses Ordinaires. (Gravée par Huguet Musicuen Pensionnaire de la Comédie Italienne)."	991015930	"CC 2028 I,311"										
"Cherubini, Luigi$d1760-1842$050253"	"Eliza ou le voyage aux glaciers du Mont St. Bernard. Opera en deux actes. Représenté ... 1794 [Paris, imprimerie du conservatoire (gravé par le Roy)]"	991015820	"CC 2028 I,201"										
"Cherubini, Luigi$d1760-1842$050253"	"Médée, Opéra En III Actes. Paroles d'Hoffmann Musique de Cherubini Représenté Sur le Théâtre de la Faydeau le 23 Ventose l'An 5. 13. Mars 1797 vieux style. - Paris: chez Jmbault M-d. de Musique, Rue Honoré No. 200. entre la Rue des Poulies et la Maison d'Aligre, (Gravé par Huguet, L. Aubert scrp.)"	991015979	"CC 2028 I,359"										
"Cherubini, Luigi$d1760-1842$050253"	"Anacréon ou l'amour fugitif, opéra ballet en deux actes [Paris, Méhul Magasin de musique dirigé par MM. Chérubini, Kreutzer, Rode, Isouard et Boieldieu; Lyon, Garnier]"	991015699	"CC 2028 I,79"										
"Cherubini, Luigi$d1760-1842$050253"	"Démophoon, tragédie lyrique en trois actes. Représentée pour la première fois ... 1788 [Paris, Le Suisse (gravée par Huguet)]"	991015732	"CC 2028 I,112"										
"Cherubini, Luigi$d1760-1842$050253"	"... [Paris, Guillaume Gaveaux aîné]"	991015744	"CC 2028 I,124"										
"Gelinek, Josef$d1758-1825$0477310"	"VIII Variations [F] pour le clavecin ou piano-forte sur un air russe ... No. 22 [London, Robert Birchall]"	991018884	GG 985a										
"Gerstenberg, Johann Daniel$d1758-1841$030003443"	"Pesennik, ili polnoe sobranie starych i novych rossijskich narodnych i protčich pesen dlja forte-piano. (1.-2. Teil) [St. Petersburg, Gerstenberg & Dittmar]"	991019033	GG 1653a										
"Cherubini, Luigi$d1760-1842$050253"	"Messe à trois voix et choeurs avec accompagnemens [Paris, Magasin de musique]"	991015620	"CC 2028 I,1"										
"Lusse, Charles de$d1720c-1774p$030006393"	"Recueil de romances historiques, tendres et burlesques, tant anciennes que modernes avec les airs notés par M. D. L. [vol. I, vol. II nicht von Lusse] [s.l., s.n.]"	992006220	L 3093										
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto II.	1001081289											
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto III.	1001081290											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 7:] Prüfung am Abend."	1001072964											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 11:] Der thätige Glaube."	1001072968											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 13:] Um Ergebung in den göttlichen Willen."	1001072970											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 18:] Trost des ewigen Lebens."	1001072974											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 22:] Das Gebet."	1001072978											
"Aird, James$d1750-1795$030016993"	"Vol. I-V [Glasgow, J. McFadyen]"	991012435	"AA 549 I,3"										
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 24:] Osterlied."	1001072979											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 25:] Passionslied."	1001072980											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 26:] Trost eines schwermüthigen Christen."	1001072981											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 4:] Vom Worte Gottes."	1001072961											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 8:] Danklied."	1001072965											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 14:] Passionslied."	1001072971											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 20:] Die Liebe des Nächsten."	1001072976											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 28:] Betrachtung des Todes."	1001072982											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 29:] Preis des Schöpfers."	1001072983											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 30:] Von der Quelle der guten Werte."	1001072984											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 39:] Der Weg des Frommen."	1001072991											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 44:] Gelassenheit."	1001072996											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 46:] Osterlied."	1001072998											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 5:] Weihnachtslied."	1001072962											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 9:] Bitten."	1001072966											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 16:] Morgengesang."	1001072972											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 6:] Geduld."	1001072963											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 17:] Gottes Macht und Vorsehung."	1001072973											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 19:] Die Ehre Gottes aus der Natur."	1001072975											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 3:] Das Glück eines guten Gewissens."	1001072960											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 10:] Osterlied."	1001072967											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 12:] Der Schutz der Kirche."	1001072969											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 21:] Auf die Himmelfahrt des Erlösers."	1001072977											
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto V.	1001081295											
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto IV.	1001081294											
"Bach, Johann Sebastian$d1685-1750$jAscertained$02539"	[heading:] [at centre:] Motetto VI.	1001081297											
"Purcell, Henry$d1659-1695$033668"	"The songs in The Indian queen: as it is now compos'd into an opera. [London, John May; John Hudgbutt (J. Heptinstall)]"	990053145	P 5887										
"Rousseau, Jean-Jacques$d1712-1778$067075"	"Les consolations des misères de ma vie, ou Recueil d'airs, romances et duos. [Paris, De Roullède; La Chevardière; Esprit (C. Benazech / Richomme)]"	990056239	R 2938										
"Lully, Jean-Baptiste$d1632-1687$0132446"	"ACHILLE | ET POLIXENE, | TRAGEDIE. | MISE EN MUSIQUE. | Le premier Acte, | Par Feu MONSIEUR DE LULLY, | Le Prologue, & les quatre autres Actes, | Par MONSIEUR COLLASSE, | Maître de la Chapelle du Roi. | Sur la Copie de Paris | A AMSTERDAM, | Chez ANTOINE POINTEL, dans le Kalver-Straat, vis à vis la Chapelle, au Rosier. | Et se trouve, | Chez HENRI DESBORDES, Marchand Libraire, dans le Kalver-Straat. | M.DC.LXXXVIII. [D-Mbs]"	990038564	L 2931										
"Le Jeune, Claude$d1528p-1600$030006876"	"... mis en musique à quatre parties [Paris, Robert Ballard]"	990037456	L 1687										
"Méhul, Etienne-Nicolas$d1763-1817$0101056"	"Joseph en Egypte. Opéra en III actes. Comp. par F. Méhul. Arrangé pour le Pianoforte à quatre mains par F. de Boyneburgk [Leipzig, F. Hoffmeister]"	990040627	M 1942										
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 10:] II. | Uber das Evangelium am Andern | Advents Sontage/ | [...] | Dises Lied kan auch gesungen werden auf die Melo= | dei des Kirchengesanges: | Wacht auf Jhr Christen alle/ u.s.w."	1001067412											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 16:] III. | Uber das Evangelium am dritten | Advents Sontage/ | [...] | Dises Lied kan auch gesungen werden auff die Melo= | dei des überal [!] bekanten Gesanges: | Kompt her zu mir/ spricht GOttes Sohn/ [&]c."	1001067418											
"Woodward, Richard$d1743c-1777$030014117"	"Songs, canons and catches for one, two, three, four, six and eight voices ... opera prima. [London, Peter Welcker; for the author]"	990069266	W 1863										
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 348 (recte 346):] LVII. | Uber das Evangelium am sechs und zwantzig= | sten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan gesungen werden auff die Melodei deß | bekanten Lides: | O Welt Jch muß Dich lassen/ u.s.w."	1001068546											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 302:] L. | Uber das Evangelium am neunzehenden Son= | tage nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan gesungen werden auf die Melodei deß bekanten | Passion=Lides: | O wir arme Sünder/ u.s.w."	1001068534											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 334:] LV. | Uber das Evangelium am vier und zwantzig= | sten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan auch gesungen werden auf die Melodei deß | schönen Gebeht Lides: | Allein zu Dir HErr Jesu Christ/ u.s.w."	1001068542											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 340:] LVI. | Uber das Evangelium am fünf und zwantzig= | sten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan auch gesungen werden auf die Melodei | des bekanten Buhs Lideß: | Erbarm dich mein O HErre Gott/ u.s.w."	1001068543											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 308:] LI. | Uber das Evangelium am zwantzigsten Son= | tage nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan man auch singen auff die Melodei des | geistreichen Lideß: | Wachet auf/ ruffet uns sie Stimme."	1001068536											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 314:] LII. | Uber das Evangelium am ein und zwantzigsten | Sont. nach dem Feste der H. Dreifaltigk. | [...] | Dises kan man singen auff die Melodei des schönen | Kirchengesanges: | Durch Adams Fall ist gantz verderbt/ u.s.w."	1001068537											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 322:] LIII. | Uber das Evangelium am zwei und zwantzig= | sten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan man singen auf die Melodei deß bekandten | Lides: | Komt her zu mir/ spricht Gottes Sohn/ u.s.w."	1001068538											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 328:] LIV. | Uber das Evangelium am drei und zwantzig= | sten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan gesungen werden auff die Melodei deß | schönen Lideß: | Jn Dich hab Jch gehoffet HErr/ u.s.w."	1001068540											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 352:] LVIII. | Uber das Evangelium am sieben und zwan= | zigsten Sontage nach dem Feste der H. | Dreifaltigkeit/ | [...] | Dises kan man auch singen auff die Melodei deß | Christlichen Abscheid [!] Liedes: | Hertzlich thut mich verlangen nach einem seligen End."	1001068547											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 94:] XVI. | Uber das Evangelium deß Fastnacht Sonta= | ges/ von den Alten Quinquagesima | oder Estomihi genant/ | [...] | Dises kan gesungen werden auf die Melodei deß auß= | führlichen Passion Lideß: | O Mensch bewein dein Sünde groß/ u.s.w."	1001067508											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 1:] Abendlied."	1001070779											
"Bach, Carl Philipp Emanuel$d1714-1788$02561"	"[heading, p. 2:] Zufriedenheit mit seinem Zustande."	1001070781											
"Viotti, Giovanni Battista$d1755-1824$0144451"	"A third grand concerto [a], arranged for the piano forte, with or without additional keys, with accompaniments for violin, alto & bass, &c., by Mr. Dussek. [London, Edinburgh, Corri, Dussek & Co.]"	990066853	V 1865										
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 4:] I. | Uber das Evangelium am Ersten | Advents Sontage/ | [...] | Dises Lied kan auch gesungen werden auf die Melo= | dei des sonst bekanten Gesanges: | HErr Christ thu mir verleihen/ u.s.w."	1001066708											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 22:] IV. | Uber das Evangelium am Vierten | Advents Sontage/ | [...] | Dises Lied kan man auch singen auff die Weise deß | schönen Kirchengesanges: | HErr Christ der Einig GOttes Sohn/ [&]c."	1001067419											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 58:] X. | Uber das Evangelium des dritten Sontages | nach dem Feste der H. drei Könige/ | [...] | Dises Lied kan man auch singen auf die Melodei | des schönen Lides: | Von allen Menschen abgewand."	1001067436											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 46:] VIII. | Uber das Evangelium des ersten Sontages | nach dem Fest der Heiligen drei Könige/ | [...] | Dises kan man singen auff die Melodei des | Morgen Lides: | Aus meines Hertzen Grunde. u.s.w."	1001067431											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 52:] IX. | Uber das Evangelium am andern Sontages | nach dem Fest der H. drei Könige/ | [...] | Dises Lied kan man auch singen nach der Weise | deß bekanten Liedes: | Auff meinen lieben GOTT/ [&]c."	1001067435											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 40:] VII. | Uber das Evangelium am Sontage nach dem | Fest der Beschneidung Christi/ oder | H. Neuen Jahrstage/ | [...] | Dises kan man auch singen auf die Melodei des gahr | wolbekanten Liedes: | Warum betrübst du dich mein Hertz."	1001067430											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 34:] VI. | Uber das Evangelium am Sontage | nach dem H. Christage. | [...] | Dises Lied kan auch gesungen werden auf die Melo= | dei des gahr alten schönen Weihenachtgesanges: | Ein Kindelein so Löbelich. u.s.w."	1001067423											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 28:] V. | Uber das Evangelium am heiligen | Christtage/ | [...] | Dises Lied kan man auch singen auf die ge= | bräuchliche Weise deß schönen Weihnachtliedes: | Gelobet seystu Jesu Christ:"	1001067421											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 64:] XI. | Uber das Evangelium des vierdten Sontages | nach dem Feste der H. drei Könige/ | [...] | Dises kan man singen auf die Melodei des geist= | reichen Kirchen Liedes: | Jch ruff zu Dir HErr JEsu CHrist."	1001067439											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 70:] XII. | Uber das Evangelium des fünften Sontages | nach dem Feste der H. drei Könige/ | [...] | Dises kan man auch singen nach der Weise | des schönen Lideß: | Es wolt uns GOTT genädig sein. u.s.w."	1001067446											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 82:] XIV. | Uber das Evangelium des Sontages/ von den | Alten Septuagesima genant/ | [...] | Dises kan auch gesungen werden auff die Melodei | deß gahr schönen Kirchengesanges: | An Wasserflüssen Babilon/ u.s.w."	1001067455											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 76:] XIII. | Uber das Evangelium des sechsten Sontags | nach dem Feste der Heil. drei Könige/ | [...] | Dises Lied kan man auch singen auf die Melodei des | gahr herlichen und schönen Kirchen gesanges: | Nun freuet Euch liben Christen gemein/ [&]c."	1001067451											
"Schobert, Johann$d1735c-1767$030002916"	"A complete collection of the works of Mons|r Schobert, for the harpsichord or piano forte [42 Sonaten, 293p., zum Teil mit eigenem Titelblatt] [London, J. Bland]"	990058461	S 2029										
"Sacchini, Antonio$d1730-1786$030002777"	"[Paris, Le Duc (écrit par Ribière, imprimé par Basset)]"	990056683	S 133										
"Sacchini, Antonio$d1730-1786$jAscertained$030002777"	Evelina. Opéra en trois actes ... représenté pour la première fois ... le mardi 29 avril 1788.	990056638	S 87										
"Sacchini, Antonio$d1730-1786$030002777"	"Chimène, ou Le Cid ... réduite pour piano et chant par Eugène Gigout. [Paris, T. Michaelis]"	990056688	S 138										
"Marcello, Benedetto$d1686-1739$030002070"	"[vol. 1, f. 3r, title page:] ESTRO | Poetico-Armonico. | PARAFRASI | Sopra li primi | VENTICINQUE SALMI. | POESIA | di | GIROLAMO ASCANIO GIUSTINIANI, | MUSICA | di | BENEDETTO MARCELLO | PATRIZI VENETI. | TOMO PRIMO. [engraving] | VENEZIA MDCCXXIV. [London, Welcker]"	990039175	M 428										
"Méhul, Etienne-Nicolas$d1763-1817$0101056"	"Stratonice. Comédie héroïque en un acte et en vers, par Hoffman. Représentée ... le jeudi, 3 mai 1792 [Paris, Cousineau père et fils (Huguet)]"	990040716	M 2033										
"Lemaire, Louis$d1694c-1750c$030001921"	"... (8|e) cantatille nouvelle ... [Paris, auteur; Boivin; Le Clerc (gravé par Dumont)]"	990037524	L 1755										
"Martini, Johann Paul Aegidius$d1741-1816$0477616"	"École d'orgue, divisée en trois parties [Paris, Imbault]"	990039870	M 1164	"I, 1616 16"									
"Pleyel, Ignace$d1757-1831$024761"	"Six sonatas for the piano forte or harpsichord with an accompaniment for a flute or violin ... dedicated (by permission) to Her Majesty The Queen of Great Britain [[London], G. Walker]"	990052064	P 4651										
"Pepusch, Johann Christoph$d1667-1752$030002471"	"The beggar's opera. As it is acted at the Theatre-Royal in Lincolns-Inn-Fields, written by Mr. Gay, 2. edition: to which is added the ouverture in score; and the musick prefix'd to each song. [London, John Watts]"	990048774	P 1194										
"Paixaõ Ribeiro, Manuel da$d18.sc$030013306"	"Nova arte de viola ... divida em duas partes ... com estampas das posturas ... e com alguns minuettes, e modinhas por musica, e por cifra. [Coimbra, ""na Real Officina da Universidade""]"	990048245	P 647										
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 188:] XXXI. | Uber daß Evangelium am Festtage der Heili= | gen Dreifaltigkeit/ | [...] | Dises kan auch gesungen werden auf die Weise Un= | sers wolbekanten Kirchengesanges vom Glauben: | Wir gläuben all an Einen Gott/ u.s.w."	1001068401											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 212:] XXXV. | Uber das Evangelium am Vierten Sontage | nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan man auch singen auf die Melodei deß | schönen Lides: | Auff dich hab ich gehoffet HERR/ u.s.w."	1001068423											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 260:] XLIII. | Uber das Evangelium am zwölfften Sonta= | ge nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan man auch singen auff die Melodei deß | Lides: | Ach Gott thu dich erbarmen/ u.s.w."	1001068456											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 272:] XLV. | Uber das Evangelium am vierzehenden Son= | tage nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan gesungen werden auf die Melodei deß wol= | bekanten Gebeht Lides: | Jch ruff zu dir HErr Jesu Christ."	1001068465											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 296:] XLIX. | Uber das Evangelium am achtzehenden Son= | tage nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan man auch singen auff die Melodei deß | schönen Tauff Lides: | Christ unser HErr zum Jordan kahm."	1001068485											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 194:] XXXII. | Uber das Evangelium am ersten Sontage | nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan gesungen werden auf die Melodei deß | bekanten Lides: | O Wir arme Sünder/ Unser Missethat/ u.s.w."	1001068408											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 254:] XLII. | Uber das Evangelium am Elfften Sontage | nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan auch gesungen werden auff die Weise des | bekanten BuhßLides: | Aus tieffer Noht schrei Jch zu dir/ u.s.w."	1001068452											
"Selle, Thomas$d1599-1663$jAscertained$030006456"	"[heading, p. 266:] XLIV. | Uber das Evangelium am dreizehenden Son= | tage nach dem Feste der H. Dreifaltigkeit/ | [...] | Dises kan man auch singen auff die Melodei deß | bekanten Morgengesanges: | Aus meines Hertzen Grunde/ u.s.w."	1001068459											
