UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
747667	"Graun, Karl Heinrich,1704-1759."	10$aHerrn Carl Heinrich Grauns Passions-Cantate Der Tod Jesu :$bin einem Clavierauszuge /$cherausgegeben von Johann Adam Hiller ...	"\\$aBreslau :$bBey Gottlieb Löwe,$c1785."	"1 vocal score ([6], 74 p.)"	G 3554		990022621			no		RISM ID no. 	990022621	RISM ID no. 990022621
749423	"Meusnier de Querlon, A.-G.(Anne-Gabriel),1702-1780."	10$aReglement pour l'Opera de Paris :$bavec des nottes historiques.	"0\$aA Utopie [i.e. Paris] :$bChez Thomas Morus,$c1743."	"[1], 68 p."		"VI, 578"	not in RISM							
752931	"Dalayrac, N.(Nicolas),1753-1809."	"13$aLe pavillon des fleurs,$bou, Les pècheurs de Grenade : comédie lyrique en un acte /$cpar R.C. Guilbert de Pixerécourt ; musique posthume de N. Dalayrac ... ; représentée pour la première fois à Paris sur le Théâtre Ral. de l'Opéra Comique le 13 mai 1822 ..."	"\\$aA Paris :$bChez F. Pleyel & fils ainé ...,$c[1822?]"	"1 score ([1], 147 p.)"	D 484		990012411			No		RISM ID no. 	990012411	RISM ID no. 990012411
753133	"Sacchini, Antonio,1730-1786."	10$aOEdipe à Colonne :$bopera en trois actes : avec accompagnement de forte piano /$cmusique de Sacchini.	\\$aA Paris :$bChez L. Troupenas ...$c[1826-1828]	"1 vocal score ([1], 190 p.)"	SS 203a		991001124			No		RISM ID no. 	991001124	RISM ID no. 991001124
786386	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aMémoires, ou, Essais sur la musique /$cpar le cen. Grétry ..."	"0\$aA Paris :$bDe l'Imprimerie de la République,$cPluviòse, an V [1797]"	3 v. :music.		"VI, 379"	not in RISM							
860767	"Frike, Joseph,1740-1798."	14$aThe art of musical modulation rendered easy and familiar : digested in twelve tables : shewing the shortest method of modulating thro' all the keys : in three and four parts : to which is perfixed [sic] an explanatory preface /$cby P. I. Frike.	"\\$a[London] :$bPrinted by W. Napier ...,$c[ca 1782?]"	"[1], iv, 33 p."			Not in RISM							
862158	"Méhul, Etienne Nicolas,1763-1817."	14$aUne folie (List und Liebe) :$bopera en deux actes /$ccomposé par Méhul ; arrangé pour le pianoforte ; avec paroles françaises et allemandes.	"\\$aÀ Leipzig :$bChez A. Meysel ;$aÀ Frankfort :$bChez Gail & Hedler,$c[1810?]"	1 vocal score (107 p.)	M 2075		990040758			No		RISM ID no. 	990040758	RISM ID no. 990040758
874961	"Dussek, Johann Ladislaus,1760-1812."	10$aThree sonatas with Scotch and German airs and three preludes for the piano forte :$bwith or without additional keys : being the continuation of op. 25 : with accompaniments for a violin or flute & bass ad libitum ... /$cby J. L. Dussek ; op. 31.	"\\$aLondon :$bPrinted for Corri, Dussek ...,$c[1794?]"	37 p. of music.			990015823	D 4115		no		RISM ID no. 	990015823	RISM ID no. 990015823
879784	"Pleyel, Ignaz,1757-1831."	10$aSix grand lessons for the harpsichord or piano-forte :$bwith an accompanyment for a violin /$ccomposed by Pleyel.	"\\$aLondon :$bPrinted by Longman & Broderip ...,$c[1798-1801]"	"[1], 2-41 p. of music."	P 4576		990051989			No		RISM ID no. 	990051989	RISM ID no. 990051989
883775	"Hook,Mr.(James),1746-1827."	"10$aSix grand lessons for the harpsichord or piano forte :$bwith an accompaniment for a German flute, or violin ... /$ccomposed by James Hook ; opera XXX ..."	"\\$aLondon :$aPrinted & sold by J. Preston,$c[1784]"	"[1], 48 p. of music."	H 7337		990031352			No		RISM ID no. 	990031352	RISM ID no. 990031352
